market,symbol,interval,earliest_date,available_intervals,base_symbol
spot,BTCUSDT,1d,2017-08-17,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,BTC
spot,ETHUSDT,1d,2017-08-17,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,ETH
spot,BNBUSDT,1d,2017-11-06,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,BNB
spot,LTCUSDT,1d,2017-12-13,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,LTC
spot,ADAUSDT,1d,2018-04-17,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,ADA
spot,XRPUSDT,1d,2018-05-04,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,XRP
spot,EOSUSDT,1d,2018-05-28,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,EOS
spot,XLMUSDT,1d,2018-05-31,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,XLM
spot,TRXUSDT,1d,2018-06-11,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,TRX
spot,ETCUSDT,1d,2018-06-12,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,ETC
spot,ICXUSDT,1d,2018-06-13,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,ICX
spot,VETUSDT,1d,2018-07-25,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,VET
spot,LINKUSDT,1d,2019-01-16,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,LINK
spot,ZILUSDT,1d,2019-02-19,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,ZIL
spot,XMRUSDT,1d,2019-03-15,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,XMR
spot,THETAUSDT,1d,2019-04-10,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,THETA
spot,MATICUSDT,1d,2019-04-26,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,MATIC
spot,ATOMUSDT,1d,2019-04-29,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,ATOM
spot,FTMUSDT,1d,2019-06-11,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,FTM
spot,ALGOUSDT,1d,2019-06-22,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,ALGO
spot,DOGEUSDT,1d,2019-07-05,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,DOGE
spot,CHZUSDT,1d,2019-09-06,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,CHZ
spot,XTZUSDT,1d,2019-09-24,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,XTZ
spot,BCHUSDT,1d,2019-11-28,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,BCH
spot,KNCUSDT,1d,2020-06-12,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,KNC
spot,MANAUSDT,1d,2020-08-06,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,MANA
spot,SOLUSDT,1d,2020-08-11,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,SOL
spot,SANDUSDT,1d,2020-08-14,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,SAND
spot,CRVUSDT,1d,2020-08-15,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,CRV
spot,DOTUSDT,1d,2020-08-18,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,DOT
spot,LUNAUSDT,1d,2020-08-21,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,LUNA
spot,EGLDUSDT,1d,2020-09-03,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,EGLD
spot,RUNEUSDT,1d,2020-09-04,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,RUNE
spot,UNIUSDT,1d,2020-09-17,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,UNI
spot,AVAXUSDT,1d,2020-09-22,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,AVAX
spot,NEARUSDT,1d,2020-10-14,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,NEAR
spot,AAVEUSDT,1d,2020-10-15,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,AAVE
spot,FILUSDT,1d,2020-10-15,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,FIL
spot,AXSUSDT,1d,2020-11-04,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,AXS
spot,ROSEUSDT,1d,2020-11-19,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,ROSE
spot,GALAUSDT,1d,2021-09-13,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,GALA
spot,ENSUSDT,1d,2021-11-10,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,ENS
spot,GMTUSDT,1d,2022-03-09,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,GMT
spot,APEUSDT,1d,2022-03-17,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,APE
spot,OPUSDT,1d,2022-06-01,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,OP
spot,APTUSDT,1d,2022-10-19,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,APT
spot,SUIUSDT,1d,2023-05-03,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,SUI
spot,WLDUSDT,1d,2023-07-24,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,WLD
spot,WIFUSDT,1d,2024-03-05,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,WIF
spot,DOGSUSDT,1d,2024-08-26,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,DOGS
